chr	start	end	H3K36me3_d0	H3K27ac_d0	H3K4me1_d0	H3K4me2_d0_new	H3K4me3_d0	H3K27me3_d0	H3K36me3_d4	H3K27ac_d4	H3K4me1_d4	H3K4me2_d4	H3K4me3_d4	H3K27me3_d4	H3K36me3_d6	H3K27ac_d6	H3K4me1_d6	H3K4me2_d6	H3K4me3_d6	H3K27me3_d6
chr1	6272600	6272799	0.445235975067	5.1432770022	1.61637931034	10.5559465165	2.0942408377	0.999500249875	0	3.62483008609	7.50938673342	18.7319884726	1.23954136969	1.99004975124	0	3.52655940048	6.87137642259	11.6022099448	2.18738607364	1.43061516452
chr1	7103600	7103799	4.0071237756	14.6950771492	8.08189655172	7.03729767769	6.28272251309	2.99850074963	4.96277915633	9.51517897599	2.50312891114	2.1613832853	1.85931205454	7.96019900498	6.96171059175	9.25721842627	3.00622718488	2.76243093923	0.729128691214	2.86123032904
chr1	7488800	7488999	7.12377560107	5.1432770022	2.15517241379	1.40745953554	0	0.999500249875	3.15813219039	18.5772541912	5.00625782228	20.8933717579	2.47908273939	0	1.98906016907	26.0083755786	6.01245436977	8.83977900552	2.18738607364	3.5765379113
chr1	9621400	9621599	3.11665182547	2.93901542983	2.69396551724	2.81491907108	0	2.99850074963	1.80464696594	11.327594019	13.1414267835	2.8818443804	0.619770684847	0	1.98906016907	7.49393872603	10.3070646339	6.62983425414	1.82282172803	0.71530758226
chr1	9933000	9933199	6.678539626	24.2468772961	0.538793103448	14.7783251232	50.2617801047	0.999500249875	10.3767200541	19.030357952	0.625782227785	30.2593659942	30.3687635575	0.995024875622	10.9398309299	8.37557857615	2.14730513206	43.6464088398	24.7903755013	0
chr1	10844200	10844399	0.445235975067	7.34753857458	7.00431034483	5.62983814215	6.28272251309	2.99850074963	0.451161741484	3.17172632533	2.50312891114	1.4409221902	1.23954136969	0.995024875622	0.994530084535	3.52655940048	4.29461026412	2.20994475138	1.45825738243	0
chr1	11511600	11511799	2.22617987533	9.55180014695	7.54310344828	11.9634060521	0	0.999500249875	3.15813219039	1.81241504304	4.38047559449	3.6023054755	1.85931205454	2.98507462687	0	4.40819925061	1.71784410565	2.76243093923	1.09369303682	0.71530758226
chr1	12705400	12705599	1.3357079252	6.61278471712	9.15948275862	6.33356790992	10.4712041885	0.999500249875	9.02323482969	5.8903488899	6.25782227785	1.4409221902	1.23954136969	0.995024875622	2.98359025361	7.49393872603	4.29461026412	0.552486187845	1.45825738243	2.14592274678
chr1	12754200	12754399	2.22617987533	20.5731080088	10.775862069	10.5559465165	6.28272251309	0.999500249875	5.41394089781	4.53103760761	3.75469336671	1.4409221902	2.47908273939	2.98507462687	8.95077076082	3.96737932555	3.43568821129	2.20994475138	2.18738607364	0
chr1	12980400	12980599	1.3357079252	0.734753857458	3.77155172414	19.7044334975	14.6596858639	1.99900049975	0	6.34345265066	5.00625782228	43.9481268012	3.71862410908	0.995024875622	0	3.52655940048	2.57676615847	41.4364640884	7.29128691214	2.86123032904
